timestamp,l_shoulder_pitch,l_shoulder_roll,l_arm_yaw,l_elbow_pitch,l_wrist_pitch,r_shoulder_pitch,r_shoulder_roll,r_arm_yaw,r_elbow_pitch,r_wrist_pitch
1772016137.4173257,14.61859176757653,23.218565079064867,34.41515125977837,-42.9328693213257,42.0,-34.23441301716569,-42.53968200546141,-84.50262093950033,-40.19299472984142,42.0
1772016137.4796753,16.94017787816747,23.18073563575939,32.10288271756859,-40.292962492278896,42.0,-35.88481485696231,-40.71038647446529,-87.0,-44.11488502465068,42.0
1772016137.5456185,17.94809283677533,22.665647145362474,30.70570522077146,-38.99859353027046,42.0,-37.24964213137363,-39.071233571498226,-76.35788073071748,-47.0187224408205,42.0
1772016137.6066856,19.403701038812205,22.39672148301488,29.116000016582774,-37.174152799590544,42.0,-38.45803391428285,-37.47129768902174,-52.1835073750814,-49.743984193492615,42.0
1772016137.6684046,20.56458978508983,22.133931774829314,27.89469862604968,-35.58158134639376,42.0,-39.42208528386346,-36.069124801049064,-17.38350737508141,-51.65720271536062,42.0
1772016137.7305906,21.305512217533327,21.943909571427675,27.15679765597515,-34.1755340961022,42.0,-40.15867321174837,-34.98547132389699,17.416492624918593,-52.510827752371334,42.0
1772016137.7937124,21.422415295836885,21.814080496627533,26.994177114447666,-32.9855864943612,42.0,-40.779545881545346,-34.29696453308286,52.2164926249186,-52.26490652929088,42.0
1772016137.8554654,20.76477506621877,21.6811939600172,27.408159866447527,-32.0891795140279,42.0,-41.38269273636176,-33.9962167303713,76.61469878173263,-51.15716197246097,42.0
1772016137.9165635,19.387404582552346,21.492856999238693,28.256103937431124,-31.491012293965632,42.0,-41.98200222953851,-33.99917044101478,86.48124364830657,-49.65380955012206,42.0
1772016137.9815705,17.187162057223034,21.2841169341367,29.731221382075887,-31.2402051530448,42.0,-42.74137580459314,-34.33056024697574,85.70424806998307,-47.06447106488683,42.0
1772016138.0423317,15.009780359428774,20.932251963434368,30.706345593752943,-30.81982956761481,42.0,-43.27291939759553,-34.554771146296375,85.70197017154982,-46.302541381507496,42.0
1772016138.1052332,13.665031818957662,20.597757328721066,31.111489025517642,-30.178331541833696,42.0,-43.38614473163063,-34.62733051201188,87.0,-46.912068478471774,42.0
1772016138.167232,12.726749529392464,20.32138242335049,31.335132934965017,-29.37036927536188,42.0,-43.2198592271614,-34.8045291345354,87.0,-47.98255027126809,42.0
1772016138.2312834,11.7173331450084,20.09760062395768,31.639587840805135,-28.550985792464004,42.0,-43.10752109576735,-35.188080339029526,87.0,-48.54420770328222,42.0
1772016138.2920375,10.39747572856031,19.83686752804822,32.00416439382529,-28.112649330737515,42.0,-43.319156552788826,-35.70089692039573,87.0,-48.20893901292346,42.0
1772016138.3581922,8.587533107295211,19.384827808714522,32.3682324786386,-28.41713179799388,42.0,-43.86659074060248,-36.31310959930693,87.0,-47.45835090260737,42.0
1772016138.42172,6.189215469418701,18.652324358101346,32.77674599316842,-29.236476620236008,42.0,-44.483121576425205,-37.10077061641062,87.0,-47.439357255392245,42.0
1772016138.481393,3.480135646271689,17.729075983475212,33.21922503611407,-29.70237597927001,42.0,-44.78772138651705,-38.0660170949343,87.0,-49.1635795211646,42.0
1772016138.5433674,3.0,16.817885766860105,33.52716001266431,-29.102709172270565,42.0,-44.57883395004161,-39.078413562952655,87.0,-52.51243701305749,42.0
1772016138.6063452,-3.0,16.03221080715198,33.55998442933884,-27.65957858790484,42.0,-44.106640288537676,-40.05987216100722,87.0,-55.971919301602846,42.0
1772016138.6703799,-3.0,15.244018411531595,33.3997798217177,-26.271438262862738,42.0,-44.044213774906844,-41.077386927796375,87.0,-57.6553162660884,42.0
1772016138.7325084,-3.3426074490213353,14.138543595640622,33.28270767656058,-25.531006645203373,42.0,-44.99011796708284,-42.17676284356648,87.0,-56.89365027074838,42.0
1772016138.7958026,-5.954981925784733,12.51822831444553,33.34878912625095,-25.26749414086537,42.0,-46.86177159768512,-43.264818562238595,87.0,-54.82072505690174,42.0
1772016138.8600526,-8.96247557549258,10.645756443085094,33.44084577059127,-25.078528679867816,42.0,-48.894217277900154,-44.258364491100686,87.0,-53.24265182765312,42.0
1772016138.920186,-11.2924421950456,9.208740974700438,33.147494741266755,-24.994881750954384,42.0,-50.384569705946525,-45.22528825118774,87.0,-52.97628651674894,42.0
1772016138.9824224,-12.12919991330535,8.792368505397443,32.1187825114682,-25.361669319975736,42.0,-51.353705415239126,-46.2258970822816,87.0,-53.45950644888659,42.0
1772016139.0441713,-11.5712918503875,9.366989188923807,30.396798362573065,-26.190509562581852,42.0,-52.34349143560898,-47.102242183211985,87.0,-53.81936170580384,42.0
1772016139.1094668,-10.421472097011447,10.360822533174968,28.426163130449282,-26.970080418221368,42.0,-53.679710601432774,-47.6201944003918,87.0,-53.86277765906428,42.0
1772016139.1714094,-9.407314198314072,11.21195775080047,26.706273085335724,-27.219516461095903,42.0,-55.149657877577155,-47.76999440618017,87.0,-53.92272654365586,42.0
1772016139.2351735,-8.704175788354743,11.767418527355659,25.421431488489333,-27.01255917853,42.0,-56.37461264195476,-47.72720255885092,87.0,-54.12896549631322,42.0
1772016139.2957728,-8.13470714701277,12.172717192636055,24.447010576229275,-26.81281532539045,42.0,-57.25690019827778,-47.60154928597826,87.0,-54.11681879808179,42.0
1772016139.359032,-7.601887163941383,12.535100961470814,23.713520534181256,-26.93430449933207,42.0,-57.949410803806096,-47.48318599600775,87.0,-53.400467500729825,42.0
